ms_drg,pa_drg,nprm_drg,mdc,type,msdrg_title,weights,los_geo,los_mean
336,Yes,No,06,SURG,PERITONEAL ADHESIOLYSIS WITH CC,2.1053,2.1053,5.5
337,Yes,No,06,SURG,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,1.4964,1.4964,3.4
344,No,No,06,SURG,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,2.7404,2.7404,7.1
345,No,No,06,SURG,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,1.5406,1.5406,4.2
346,No,No,06,SURG,MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,1.2878,1.2878,2.9
347,No,No,06,SURG,ANAL AND STOMAL PROCEDURES WITH MCC,2.5491,2.5491,5.6
348,No,No,06,SURG,ANAL AND STOMAL PROCEDURES WITH CC,1.3014,1.3014,3.1
349,No,No,06,SURG,ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC,0.9758,0.9758,1.8
350,No,No,06,SURG,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,2.4000,2.4000,4.8
351,No,No,06,SURG,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,1.4556,1.4556,3.0
352,No,No,06,SURG,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,1.1090,1.1090,2.0
353,No,No,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC,2.9243,2.9243,6.0
354,No,No,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,1.7178,1.7178,3.5
355,No,No,06,SURG,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,1.3626,1.3626,2.3
356,Yes,No,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,4.2787,4.2787,8.0
357,Yes,No,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC,2.1968,2.1968,4.4
358,Yes,No,06,SURG,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1.2811,1.2811,2.5
368,No,No,06,MED,MAJOR ESOPHAGEAL DISORDERS WITH MCC,1.6520,1.6520,4.2
369,No,No,06,MED,MAJOR ESOPHAGEAL DISORDERS WITH CC,0.9883,0.9883,3.0
370,No,No,06,MED,MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC,0.7437,0.7437,2.2
371,Yes,No,06,MED,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,1.7477,1.7477,5.4
372,Yes,No,06,MED,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,1.0423,1.0423,3.8
373,Yes,No,06,MED,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC,0.7165,0.7165,2.8
374,Yes,No,06,MED,DIGESTIVE MALIGNANCY WITH MCC,2.0990,2.0990,5.6
375,Yes,No,06,MED,DIGESTIVE MALIGNANCY WITH CC,1.1983,1.1983,3.6
376,Yes,No,06,MED,DIGESTIVE MALIGNANCY WITHOUT CC/MCC,0.8914,0.8914,2.4
377,Yes,No,06,MED,GASTROINTESTINAL HEMORRHAGE WITH MCC,1.7903,1.7903,4.6
378,Yes,No,06,MED,GASTROINTESTINAL HEMORRHAGE WITH CC,0.9838,0.9838,3.0
379,Yes,No,06,MED,GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC,0.6332,0.6332,2.1
380,Yes,No,06,MED,COMPLICATED PEPTIC ULCER WITH MCC,1.9485,1.9485,5.1
381,Yes,No,06,MED,COMPLICATED PEPTIC ULCER WITH CC,1.0730,1.0730,3.2
382,Yes,No,06,MED,COMPLICATED PEPTIC ULCER WITHOUT CC/MCC,0.7571,0.7571,2.4
383,No,No,06,MED,UNCOMPLICATED PEPTIC ULCER WITH MCC,1.3982,1.3982,3.8
384,No,No,06,MED,UNCOMPLICATED PEPTIC ULCER WITHOUT MCC,0.8757,0.8757,2.6
385,No,No,06,MED,INFLAMMATORY BOWEL DISEASE WITH MCC,1.5669,1.5669,5.0
386,No,No,06,MED,INFLAMMATORY BOWEL DISEASE WITH CC,0.9716,0.9716,3.4
387,No,No,06,MED,INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC,0.6841,0.6841,2.6
388,Yes,No,06,MED,GASTROINTESTINAL OBSTRUCTION WITH MCC,1.4535,1.4535,4.6
389,Yes,No,06,MED,GASTROINTESTINAL OBSTRUCTION WITH CC,0.7964,0.7964,3.1
390,Yes,No,06,MED,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,0.5590,0.5590,2.3
391,No,No,06,MED,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",1.2757,1.2757,3.9
392,No,No,06,MED,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",0.7856,0.7856,2.6
393,No,No,06,MED,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,1.6196,1.6196,4.4
394,No,No,06,MED,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,0.9369,0.9369,3.0
395,No,No,06,MED,OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,0.6475,0.6475,2.1
397,No,No,06,SURG,APPENDIX PROCEDURES WITH MCC,2.2466,2.2466,4.7
398,No,No,06,SURG,APPENDIX PROCEDURES WITH CC,1.5133,1.5133,3.1
399,No,No,06,SURG,APPENDIX PROCEDURES WITHOUT CC/MCC,1.1131,1.1131,1.9
405,Yes,No,07,SURG,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC",5.5052,5.5052,9.0
406,Yes,No,07,SURG,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC",2.8874,2.8874,5.0
407,Yes,No,07,SURG,"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC",2.1510,2.1510,3.5
408,No,No,07,SURG,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC,3.7222,3.7222,8.1
409,No,No,07,SURG,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC,1.9573,1.9573,4.6
410,No,No,07,SURG,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC,1.5652,1.5652,3.1
411,No,No,07,SURG,CHOLECYSTECTOMY WITH C.D.E. WITH MCC,2.8805,3.0404,6.2
412,No,No,07,SURG,CHOLECYSTECTOMY WITH C.D.E. WITH CC,2.0455,2.0661,4.1
